id	name	discount_policy	item_ids/product_tmpl_id	item_ids/product_id	item_ids/categ_id	item_ids/min_quantity	item_ids/applied_on	item_ids/base	item_ids/base_pricelist_id	item_ids/price_surcharge	item_ids/price_round	item_ids/price_min_margin	item_ids/price_max_margin	item_ids/date_start	item_ids/date_end	item_ids/compute_price	item_ids/fixed_price	item_ids/percent_price	item_ids/discount1	item_ids/discount2	item_ids/discount3	item_ids/price_discount
3	01 Corrispettivi Banco Top	without_discount	15952	14922		24	0_product_variant	list_price						2023-02-22 11:51:29		percentage		10				
3	01 Corrispettivi Banco Top	without_discount	5334	4335		24	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
5	01 Corrispettivi Banco Top	without_discount	5334	4335		24	0_product_variant	list_price						2022-12-31 23:00:00		percentage		8.5				
5	01 Corrispettivi Banco Top	without_discount	1351	352		24	0_product_variant	list_price						2022-12-31 23:00:00		percentage		16.62				
215	LISTINO CALA GALERA	without_discount	1262	263		24	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.12				
215	LISTINO CALA GALERA	without_discount	2331	1332		24	0_product_variant	list_price						2023-03-31 22:00:00		percentage		27.39				
172	LISTINO DIEFFE	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-27 22:00:00		percentage		9.84				
199	LISTINO CALA GALERA	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
209	LISTINO AUTOCARR.SCARINO 923 115	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
215	LISTINO CALA GALERA	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
277	LISTINO NUOVA EUROCAR di Pazzaglia	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
3	01 Corrispettivi Banco Top	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
5	01 Corrispettivi Banco Top	without_discount	11187	10154		24	0_product_variant	list_price						2023-05-21 22:00:00		percentage		9.84				
215	LISTINO CALA GALERA	without_discount	12977	11947		20	0_product_variant	list_price						2023-10-31 08:09:58		percentage		9.84				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	6220	5221		20	0_product_variant	list_price						2022-07-07 00:00:00		percentage		48				
3	01 Corrispettivi Banco Top	without_discount		439		20	0_product_variant	list_price						2022-12-31 23:00:00		percentage		62				
5	01 Corrispettivi Banco Top	without_discount		439		20	0_product_variant	list_price						2022-12-31 23:00:00		percentage		62				
333	LISTINO ELMAR OCTORAL	without_discount	17330	16300		16	0_product_variant	list_price						2024-03-03 08:49:49		percentage		59				
333	LISTINO ELMAR OCTORAL	without_discount	17331	16301		16	0_product_variant	list_price						2024-03-03 08:47:55		percentage		59				
167	LISTINO CLIENTE 006487 ABI TECH	without_discount	9684	8685		15	0_product_variant	list_price						2023-03-31 22:00:00		percentage		34.07				
5	01 Corrispettivi Banco Top	without_discount	6612	5613		12	0_product_variant	list_price						2024-02-29 23:00:00		percentage		20				
3	01 Corrispettivi Banco Top	without_discount	6612	5613		12	0_product_variant	list_price						2024-02-29 23:00:00		percentage		20				
5	01 Corrispettivi Banco Top	without_discount	17176	16146		12	0_product_variant	list_price						2023-10-27 11:07:14		percentage		14.7				
3	01 Corrispettivi Banco Top	without_discount	17176	16146		12	0_product_variant	list_price						2023-10-27 11:05:57		percentage		14.7				
5	01 Corrispettivi Banco Top	without_discount	16892	15862		12	0_product_variant	list_price						2023-10-12 10:02:34		percentage		43.99				
3	01 Corrispettivi Banco Top	without_discount	16892	15862		12	0_product_variant	list_price						2023-10-12 10:01:28		percentage		43.99				
3	01 Corrispettivi Banco Top	without_discount	16426	15396		12	0_product_variant	list_price						2023-09-11 10:15:30		percentage		45.92				
3	01 Corrispettivi Banco Top	without_discount	16425	15395		12	0_product_variant	list_price						2023-09-11 10:13:37		percentage		45.92				
3	01 Corrispettivi Banco Top	without_discount	16806	15776		12	0_product_variant	list_price						2023-09-11 10:11:25		percentage		45.88				
3	01 Corrispettivi Banco Top	without_discount	16419	15389		12	0_product_variant	list_price						2023-09-11 10:10:01		percentage		45.87				
3	01 Corrispettivi Banco Top	without_discount	16418	15388		12	0_product_variant	list_price						2023-09-11 10:09:04		percentage		45.91				
5	01 Corrispettivi Banco Top	without_discount	16426	15396		12	0_product_variant	list_price						2023-09-11 09:13:50		percentage		45.92				
5	01 Corrispettivi Banco Top	without_discount	16425	15395		12	0_product_variant	list_price						2023-09-11 09:12:48		percentage		45.92				
5	01 Corrispettivi Banco Top	without_discount	16806	15776		12	0_product_variant	list_price						2023-09-11 08:57:43		percentage		45.88				
